id,BBid,type,link,backbone,device_id,team_name,user,Bbid
1,BBa_J23101,promoter,http://parts.igem.org/Part:BBa_J23101,PSB3K3,D0001,iBowu-China,JinjuLee119,NA
2,BBa_B0034,RBS,http://parts.igem.org/Part:BBa_B0034,PSB3K3,D0001,iBowu-China,JinjuLee119,NA
3,BBa_C0062,regulatory,http://parts.igem.org/Part:BBa_C0062,PSB3K3,D0001,iBowu-China,JinjuLee119,NA
4,BBa_B0015,terminator,http://parts.igem.org/Part:BBa_B0015,PSB3K3,D0001,iBowu-China,JinjuLee119,NA
5,BBa_R0062,promoter,http://parts.igem.org/Part:BBa_R0062,PSB3K3,D0001,iBowu-China,JinjuLee119,NA
6,BBa_I732017,coding,http://parts.igem.org/Part:BBa_I732017,PSB3K3,D0001,iBowu-China,JinjuLee119,NA
7,BBa_B0015,terminator,http://parts.igem.org/Part:BBa_B0015,PSB3K3,D0001,iBowu-China,JinjuLee119,NA
8,BBa_R0062,Regulatory,http://parts.igem.org/Part:BBa_R0062,-,D0001,OUC-China,JinjuLee119,NA
9,BBa_K3328031,Reporter,http://parts.igem.org/Part:BBa_K3328031,-,D0001,OUC-China,JinjuLee119,NA
1,BBa_R0010,Promoter,http://parts.igem.org/Part:BBa_R0010,NA,D0001,Team:Aboa,th-kim310,NA
2,BBa_K5670184,Reporter,http://parts.igem.org/Part:BBa_K5670184,NA,D0001,Team:Aboa,th-kim310,NA
3,BBa_R0010,Promoter,http://parts.igem.org/Part:BBa_R0010,NA,D0001,Hong_Kong_HKU,th-kim310,NA
4,BBa_B0034,RBS,http://parts.igem.org/Part:BBa_B0034,NA,D0001,Hong_Kong_HKU,th-kim310,NA
5,BBa_E1010,RFP,http://parts.igem.org/Part:BBa_E1010,NA,D0001,Hong_Kong_HKU,th-kim310,NA
6,BBa_B0054,Terminator,http://parts.igem.org/Part:BBa_B0054,NA,D0001,Hong_Kong_HKU,th-kim310,NA
7,BBa_J23100,Promoter,http://parts.igem.org/Part:BBa_J23100,BBa_J61002,D0001,Team:Stuttgart,th-kim310,NA
1,BBa_J23101,promoter,http://parts.igem.org/Part:BBa_J23101,PSB3K3,D0001,iBowu-China,JinjuLee119,NA
2,BBa_B0034,RBS,http://parts.igem.org/Part:BBa_B0034,PSB3K3,D0001,iBowu-China,JinjuLee119,NA
3,BBa_C0062,regulatory,http://parts.igem.org/Part:BBa_C0062,PSB3K3,D0001,iBowu-China,JinjuLee119,NA
4,BBa_B0015,terminator,http://parts.igem.org/Part:BBa_B0015,PSB3K3,D0001,iBowu-China,JinjuLee119,NA
5,BBa_R0062,promoter,http://parts.igem.org/Part:BBa_R0062,PSB3K3,D0001,iBowu-China,JinjuLee119,NA
6,BBa_I732017,coding,http://parts.igem.org/Part:BBa_I732017,PSB3K3,D0001,iBowu-China,JinjuLee119,NA
7,BBa_B0015,terminator,http://parts.igem.org/Part:BBa_B0015,PSB3K3,D0001,iBowu-China,JinjuLee119,NA
8,BBa_R0062,Regulatory,http://parts.igem.org/Part:BBa_R0062,-,D0001,OUC-China,JinjuLee119,NA
9,BBa_K3328031,Reporter,http://parts.igem.org/Part:BBa_K3328031,-,D0001,OUC-China,JinjuLee119,NA
1,BBa_R0010,Promoter,http://parts.igem.org/Part:BBa_R0010,NA,D0001,Team:Aboa,th-kim310,NA
2,BBa_K5670184,Reporter,http://parts.igem.org/Part:BBa_K5670184,NA,D0001,Team:Aboa,th-kim310,NA
3,BBa_R0010,Promoter,http://parts.igem.org/Part:BBa_R0010,NA,D0001,Hong_Kong_HKU,th-kim310,NA
4,BBa_B0034,RBS,http://parts.igem.org/Part:BBa_B0034,NA,D0001,Hong_Kong_HKU,th-kim310,NA
5,BBa_E1010,RFP,http://parts.igem.org/Part:BBa_E1010,NA,D0001,Hong_Kong_HKU,th-kim310,NA
6,BBa_B0054,Terminator,http://parts.igem.org/Part:BBa_B0054,NA,D0001,Hong_Kong_HKU,th-kim310,NA
7,BBa_J23100,Promoter,http://parts.igem.org/Part:BBa_J23100,BBa_J61002,D0001,Team:Stuttgart,th-kim310,NA
1,BBa_J23119,Promoter,http://parts.igem.org/Part:BBa_J23119,pMTL84151,D0001,Nottingham,sb.h,NA
1,BBa_K2715010,RBS,http://parts.igem.org/Part:BBa_K2715010,pMTL84151,D0001,Nottingham,sb.h,NA
1,BBa_E0040,GFP,http://parts.igem.org/Part:BBa_E0040,pMTL84151,D0001,Nottingham,sb.h,NA
1,-,Terminator,-,pMTL84151,D0001,Nottingham,sb.h,NA
2,BBa_J23119,Promoter,http://parts.igem.org/Part:BBa_J23119,-,D0002,UCAS-China,sb.h,NA
2,BBa_K2969998,RBS,http://parts.igem.org/Part:BBa_K2969998,-,D0002,UCAS-China,sb.h,NA
2,BBa_K2969020,TEVsite,http://parts.igem.org/Part:BBa_K2969020,-,D0002,UCAS-China,sb.h,NA
2,BBa_I746916,sfGFP,http://parts.igem.org/Part:BBa_I746916,-,D0002,UCAS-China,sb.h,NA
2,BBa_K2969991,Terminator,http://parts.igem.org/Part:BBa_K2969991,-,D0002,UCAS-China,sb.h,NA
3,BBa_R0062,Promoter,http://parts.igem.org/Part:BBa_R0062,-,D0003,Stockholm,sb.h,NA
3,BBa_B0034,RBS,http://parts.igem.org/Part:BBa_B0034,-,D0003,Stockholm,sb.h,NA
3,BBa_E0040,GFP,http://parts.igem.org/Part:BBa_E0040,-,D0003,Stockholm,sb.h,NA
3,-,Terminator,-,-,D0003,Stockholm,sb.h,NA
1,NA,Promoter,http://parts.igem.org/Part:BBa_J23101,NA,D0001,Baltimore_BioCrew,yoo-bh,BBa_J23101
2,NA,Promoter,http://parts.igem.org/Part:BBa_J23105,NA,D0001,Baltimore_BioCrew,yoo-bh,BBa_J23105
3,NA,Terminator,http://parts.igem.org/Part:BBa_B1001,NA,D0001,Baltimore_BioCrew,yoo-bh,BBa_B1001
4,NA,Reporter mCherry,http://parts.igem.org/Part:BBa_J06504,NA,D0001,Baltimore_BioCrew,yoo-bh,BBa_J06504
5,NA,Promoter,http://parts.igem.org/Part:BBa_J23101,NA,D0001,BOKU-Vienna,yoo-bh,BBa_J23101
6,NA,Promoter,http://parts.igem.org/Part:BBa_J23105,NA,D0001,BOKU-Vienna,yoo-bh,BBa_J23105
7,NA,Terminator,http://parts.igem.org/Part:BBa_B1001,NA,D0001,BOKU-Vienna,yoo-bh,BBa_B1001
8,NA,Reporter mCherry,http://parts.igem.org/Part:BBa_J06504,NA,D0001,BOKU-Vienna,yoo-bh,BBa_J06504
1,NA,Promoter,http://parts.igem.org/Part:BBa_R0051,pSB1C3,-,Tongji_China,yoo-bh,BBa_R0051
2,NA,RBS,http://parts.igem.org/Part:BBa_B0034,pSB1C3,-,Tongji_China,yoo-bh,BBa_B0034
3,NA,RFP,http://parts.igem.org/Part:BBa_E1010,pSB1C3,-,Tongji_China,yoo-bh,BBa_E1010
4,NA,Terminator,http://parts.igem.org/Part:BBa_B0015,pSB1C3,-,Tongji_China,yoo-bh,BBa_B0015
